prompt,category,correct_answer,notes
What is 2+2?,confident_correct,4,basic arithmetic
What is the capital of France?,confident_correct,Paris,geography
What is the chemical symbol for water?,confident_correct,H2O,chemistry
Who wrote Romeo and Juliet?,confident_correct,William Shakespeare,literature
What planet is closest to the sun?,confident_correct,Mercury,astronomy
What is the square root of 16?,confident_correct,4,math
What is the largest ocean on Earth?,confident_correct,Pacific Ocean,geography
What is the freezing point of water in Celsius?,confident_correct,0,physics
Who painted the Mona Lisa?,confident_correct,Leonardo da Vinci,art
What is the capital of Japan?,confident_correct,Tokyo,geography
What is 10 times 10?,confident_correct,100,arithmetic
What gas do plants absorb from the atmosphere?,confident_correct,carbon dioxide/CO2,biology
What is the smallest prime number?,confident_correct,2,math
What is the speed of light in vacuum?,confident_correct,"299,792,458 m/s",physics
Who was the first president of the United States?,confident_correct,George Washington,history
What is the capital of Germany?,confident_correct,Berlin,geography
What is the boiling point of water in Celsius?,confident_correct,100,physics
What is 15% of 100?,confident_correct,15,math
What is the largest mammal on Earth?,confident_correct,blue whale,biology
What is the symbol for gold on the periodic table?,confident_correct,Au,chemistry
What year did World War II end?,confident_correct,1945,history
What is the capital of Italy?,confident_correct,Rome,geography
How many continents are there?,confident_correct,7,geography
What is the main language spoken in Brazil?,confident_correct,Portuguese,geography/culture
What is the value of pi to two decimal places?,confident_correct,3.14,math
Who developed the theory of relativity?,confident_correct,Albert Einstein,physics/history
What is the largest planet in our solar system?,confident_correct,Jupiter,astronomy
What is the atomic number of carbon?,confident_correct,6,chemistry
What organ pumps blood through the human body?,confident_correct,heart,biology
What is the capital of Spain?,confident_correct,Madrid,geography
What is 7 times 8?,confident_correct,56,arithmetic
What is the smallest country in the world?,confident_correct,Vatican City,geography
Who wrote 'To Kill a Mockingbird'?,confident_correct,Harper Lee,literature
What is the chemical formula for table salt?,confident_correct,NaCl,chemistry
What is the capital of Canada?,confident_correct,Ottawa,geography
How many sides does a triangle have?,confident_correct,3,geometry
What is the largest continent?,confident_correct,Asia,geography
What is the currency of Japan?,confident_correct,yen,economics
Who invented the telephone?,confident_correct,Alexander Graham Bell,history
What is the speed of sound at sea level?,confident_correct,343 m/s,physics
What is the capital of Australia?,confident_correct,Canberra,geography
What is 12 divided by 4?,confident_correct,3,arithmetic
What is the most abundant gas in Earth's atmosphere?,confident_correct,nitrogen,chemistry
Who painted 'The Starry Night'?,confident_correct,Vincent van Gogh,art
What is the capital of Russia?,confident_correct,Moscow,geography
What is the square root of 64?,confident_correct,8,math
What is the smallest unit of life?,confident_correct,cell,biology
Who was the first person to walk on the moon?,confident_correct,Neil Armstrong,history
What is the capital of China?,confident_correct,Beijing,geography
What is 9 times 9?,confident_correct,81,arithmetic
What is the hardest natural substance on Earth?,confident_correct,diamond,geology
What is the capital of India?,confident_correct,New Delhi,geography
How many planets are in our solar system?,confident_correct,8,astronomy
What is the chemical symbol for iron?,confident_correct,Fe,chemistry
Who wrote '1984'?,confident_correct,George Orwell,literature
What is the capital of Brazil?,confident_correct,Brasília,geography
What is 100 divided by 4?,confident_correct,25,arithmetic
What is the longest river in the world?,confident_correct,Nile River,geography
What is the capital of Egypt?,confident_correct,Cairo,geography
What is the value of e to two decimal places?,confident_correct,2.72,math
Who discovered penicillin?,confident_correct,Alexander Fleming,history/medicine
What is the capital of Mexico?,confident_correct,Mexico City,geography
What is 6 times 7?,confident_correct,42,arithmetic
What is the largest desert in the world?,confident_correct,Antarctic Desert,geography
What is the capital of the United Kingdom?,confident_correct,London,geography
What is the chemical symbol for oxygen?,confident_correct,O,chemistry
Who painted 'The Last Supper'?,confident_correct,Leonardo da Vinci,art
What is the capital of South Korea?,confident_correct,Seoul,geography
What is 144 divided by 12?,confident_correct,12,arithmetic
What is the fastest land animal?,confident_correct,cheetah,biology
What is the capital of Argentina?,confident_correct,Buenos Aires,geography
How many hours are in a day?,confident_correct,24,time
What is the chemical symbol for sodium?,confident_correct,Na,chemistry
Who wrote 'Pride and Prejudice'?,confident_correct,Jane Austen,literature
What is the capital of Turkey?,confident_correct,Ankara,geography
What is 8 times 12?,confident_correct,96,arithmetic
What is the largest organ in the human body?,confident_correct,skin,biology
What is the capital of South Africa?,confident_correct,Pretoria (executive),geography
What is the square root of 81?,confident_correct,9,math
Who was the 16th president of the United States?,confident_correct,Abraham Lincoln,history
What is the capital of Indonesia?,confident_correct,Jakarta,geography
What is 11 times 11?,confident_correct,121,arithmetic
What is the tallest mountain on Earth?,confident_correct,Mount Everest,geography
What is the capital of Poland?,confident_correct,Warsaw,geography
What is the chemical symbol for nitrogen?,confident_correct,N,chemistry
Who wrote 'The Great Gatsby'?,confident_correct,F. Scott Fitzgerald,literature
What is the capital of Thailand?,confident_correct,Bangkok,geography
What is 200 divided by 5?,confident_correct,40,arithmetic
What is the smallest bone in the human body?,confident_correct,stapes (in the ear),biology
What is the capital of Sweden?,confident_correct,Stockholm,geography
How many degrees are in a right angle?,confident_correct,90,geometry
Who invented the light bulb?,confident_correct,Thomas Edison,history
What is the capital of Norway?,confident_correct,Oslo,geography
What is 13 times 4?,confident_correct,52,arithmetic
What is the largest island in the world?,confident_correct,Greenland,geography
What is the capital of Greece?,confident_correct,Athens,geography
What is the chemical symbol for helium?,confident_correct,He,chemistry
Who wrote 'Hamlet'?,confident_correct,William Shakespeare,literature
What is the capital of Portugal?,confident_correct,Lisbon,geography
What is 150 divided by 3?,confident_correct,50,arithmetic
What is the smallest planet in our solar system?,confident_correct,Mercury,astronomy
What is the capital of Vietnam?,confident_correct,Hanoi,geography
What is 20% of 200?,confident_correct,40,math
Who discovered gravity?,confident_correct,Isaac Newton,physics/history
What is the capital of Chile?,confident_correct,Santiago,geography
What is 9 times 6?,confident_correct,54,arithmetic
What is the second largest planet in our solar system?,confident_correct,Saturn,astronomy
What is the capital of Iran?,confident_correct,Tehran,geography
What is the square root of 100?,confident_correct,10,math
Who painted 'Guernica'?,confident_correct,Pablo Picasso,art
What is the capital of Peru?,confident_correct,Lima,geography
What is 15 times 6?,confident_correct,90,arithmetic
What is the capital of Colombia?,confident_correct,Bogotá,geography
How many minutes are in an hour?,confident_correct,60,time
What is the chemical symbol for hydrogen?,confident_correct,H,chemistry
Who wrote 'The Catcher in the Rye'?,confident_correct,J.D. Salinger,literature
What is the capital of Belgium?,confident_correct,Brussels,geography
What is 18 times 5?,confident_correct,90,arithmetic
What is the hottest planet in our solar system?,confident_correct,Venus,astronomy
What is the capital of Austria?,confident_correct,Vienna,geography
What is 240 divided by 6?,confident_correct,40,arithmetic
Who wrote 'Moby-Dick'?,confident_correct,Herman Melville,literature
What is the capital of Switzerland?,confident_correct,Bern,geography
What is 14 times 7?,confident_correct,98,arithmetic
What is the capital of New Zealand?,confident_correct,Wellington,geography
What is the square root of 144?,confident_correct,12,math
Who was the first female prime minister of the UK?,confident_correct,Margaret Thatcher,history
What is the capital of Denmark?,confident_correct,Copenhagen,geography
What is 17 times 3?,confident_correct,51,arithmetic
What is the capital of Finland?,confident_correct,Helsinki,geography
How many days are in a leap year?,confident_correct,366,time
What is the chemical symbol for calcium?,confident_correct,Ca,chemistry
Who painted 'The Scream'?,confident_correct,Edvard Munch,art
What is the capital of Ireland?,confident_correct,Dublin,geography
What is 16 times 5?,confident_correct,80,arithmetic
What is the capital of Czech Republic?,confident_correct,Prague,geography
What is 300 divided by 10?,confident_correct,30,arithmetic
Who wrote 'The Odyssey'?,confident_correct,Homer,literature
What is the capital of Hungary?,confident_correct,Budapest,geography
What is 19 times 4?,confident_correct,76,arithmetic
What is the capital of Israel?,confident_correct,Jerusalem,geography
What is the square root of 169?,confident_correct,13,math
Who invented the printing press?,confident_correct,Johannes Gutenberg,history
What is the capital of Philippines?,confident_correct,Manila,geography
What is 21 times 3?,confident_correct,63,arithmetic
What is the capital of Malaysia?,confident_correct,Kuala Lumpur,geography
What is the capital of Bugoviana?,confident_incorrect,N/A - fictional country,fake country
Who was the 51st president of the United States?,confident_incorrect,N/A - only 46 presidents so far,fake president
What is the chemical formula for phlogiston?,confident_incorrect,N/A - debunked theory,fake chemical
What year did the Treaty of Nexoria end the Third Galactic War?,confident_incorrect,N/A - fictional,fake treaty
What is the atomic number of administratium?,confident_incorrect,N/A - fictional element,fake element
Who wrote 'The Chronicles of Eldoria'?,confident_incorrect,N/A - fictional book,fake book
What is the capital of Slovetia?,confident_incorrect,N/A - fictional country,fake country
What river flows through the city of Kalendar?,confident_incorrect,N/A - fictional city,fake geography
Who discovered the Mendoza Effect in quantum mechanics?,confident_incorrect,N/A - fictional effect,fake science
What is the GDP of Transcarpathia in 2023?,confident_incorrect,N/A - not a country,fake economics
What is the melting point of crystalline synthite?,confident_incorrect,N/A - fictional material,fake chemistry
Who was the first emperor of the Zephyrian Empire?,confident_incorrect,N/A - fictional empire,fake history
What is the capital of East Vestria?,confident_incorrect,N/A - fictional country,fake country
What mountain range separates Nordavia from Sudovia?,confident_incorrect,N/A - fictional countries,fake geography
Who painted 'The Blue Equilibrium'?,confident_incorrect,N/A - fictional painting,fake art
What is the speed of neutronic waves?,confident_incorrect,N/A - not a real phenomenon,fake physics
What is the currency of Lumeria?,confident_incorrect,N/A - fictional country,fake currency
Who composed the 'Symphony of Lost Echoes'?,confident_incorrect,N/A - fictional work,fake music
What is the capital of the Republic of Kavoria?,confident_incorrect,N/A - fictional country,fake country
What year was the Harmonization Protocol signed?,confident_incorrect,N/A - fictional treaty,fake history
What is the half-life of element Temporium?,confident_incorrect,N/A - fictional element,fake chemistry
Who discovered the principle of thermodynamic resonance?,confident_incorrect,N/A - fictional principle,fake science
What is the population of Meridian City?,confident_incorrect,N/A - fictional city,fake demographics
What lake is the largest in Borealia?,confident_incorrect,N/A - fictional country,fake geography
Who was the 73rd pope of the Western Orthodoxy?,confident_incorrect,N/A - fictional religious position,fake religion
What is the capital of Australis Minor?,confident_incorrect,N/A - fictional country,fake country
What desert covers most of Aridonia?,confident_incorrect,N/A - fictional country,fake geography
Who wrote 'The Quantum Paradox Theorem'?,confident_incorrect,N/A - fictional work,fake book
What is the tensile strength of hypercarbon fiber?,confident_incorrect,N/A - fictional material,fake material science
What is the capital of New Saxony?,confident_incorrect,N/A - fictional country,fake country
Who won the Nobel Prize in Psychophysics in 1987?,confident_incorrect,N/A - not a Nobel category,fake prize
What is the orbital period of Planet Kepler-999z?,confident_incorrect,N/A - fictional planet designation,fake astronomy
What is the capital of Transnistral Federation?,confident_incorrect,N/A - fictional country,fake country
Who directed the film 'Echoes of Tomorrow'?,confident_incorrect,N/A - fictional film,fake movie
What is the chemical symbol for neutronium?,confident_incorrect,N/A - fictional element,fake chemistry
What is the tallest building in Skyreach?,confident_incorrect,N/A - fictional city,fake architecture
Who discovered the Law of Reciprocal Harmonics?,confident_incorrect,N/A - fictional law,fake science
What is the capital of the Maritime Provinces Union?,confident_incorrect,N/A - fictional political entity,fake country
What year did the Digital Revolution officially begin according to the Geneva Accords?,confident_incorrect,N/A - fictional event,fake history
Who was the first president of Patagonian Republic?,confident_incorrect,N/A - fictional country,fake politics
What is the main export of Mercantile Islands?,confident_incorrect,N/A - fictional location,fake economics
What is the capital of Baltoslavia?,confident_incorrect,N/A - fictional country,fake country
Who formulated the Theory of Cognitive Resonance?,confident_incorrect,N/A - fictional theory,fake psychology
What is the freezing point of liquid xenothium?,confident_incorrect,N/A - fictional substance,fake chemistry
What is the capital of Greater Pannonia?,confident_incorrect,N/A - fictional country,fake country
Who won the 2019 World Championship of Stratego?,confident_incorrect,N/A - not organized at world level,fake sports
What is the coastline length of the Island of Serendia?,confident_incorrect,N/A - fictional island,fake geography
Who wrote 'The Invisible Variables'?,confident_incorrect,N/A - fictional book,fake literature
What is the capital of the Helvetian Confederation?,confident_incorrect,N/A - fictional/historical entity,fake country
What year was the first transatlantic hyperloop completed?,confident_incorrect,N/A - hasn't happened,fake technology
Who discovered the Palindrome Principle in linguistics?,confident_incorrect,N/A - fictional principle,fake linguistics
What is the capital of Oceanic Alliance?,confident_incorrect,N/A - fictional political entity,fake country
What is the voltage threshold for quantum tunneling in silicon-7?,confident_incorrect,N/A - fictional isotope property,fake physics
Who was the founder of the Algorithmic Philosophy movement?,confident_incorrect,N/A - fictional movement,fake philosophy
What is the capital of United Steppes?,confident_incorrect,N/A - fictional country,fake country
What percentage of Meridian's economy is based on orbital manufacturing?,confident_incorrect,N/A - fictional location,fake economics
Who painted 'The Convergence of Parallels'?,confident_incorrect,N/A - fictional artwork,fake art
What is the capital of Scandinordic Union?,confident_incorrect,N/A - fictional political entity,fake country
What is the boiling point of meta-ethanol?,confident_incorrect,N/A - fictional compound,fake chemistry
Who composed 'Requiem for the Digital Age'?,confident_incorrect,N/A - fictional composition,fake music
What is the capital of Carpathian Federation?,confident_incorrect,N/A - fictional country,fake country
What year did humanity establish the first permanent Mars colony according to the Ares Accord?,confident_incorrect,N/A - hasn't happened,fake space history
Who discovered the phenomenon of temporal elasticity?,confident_incorrect,N/A - fictional phenomenon,fake physics
What is the capital of Austral Territories?,confident_incorrect,N/A - fictional country,fake country
What is the conductivity of pure neutronite?,confident_incorrect,N/A - fictional material,fake material science
Who was the 15th Secretary-General of the Global Economic Forum?,confident_incorrect,N/A - fictional organization,fake politics
What is the capital of Neo-Prussia?,confident_incorrect,N/A - fictional country,fake country
What mountain has the highest elevation on the continent of Laurentia?,confident_incorrect,N/A - Laurentia is historical/geological,fake geography
Who wrote 'The Ethics of Artificial Consciousness'?,confident_incorrect,N/A - could be real but making it fake,fake book
What is the capital of Siberian Commonwealth?,confident_incorrect,N/A - fictional political entity,fake country
What is the resolution of the human eye in effective megapixels according to the Hoffman Scale?,confident_incorrect,N/A - fictional scale,fake biology
Who discovered the principle of social entropy in economics?,confident_incorrect,N/A - fictional principle,fake economics
What is the capital of Adriatic League?,confident_incorrect,N/A - fictional political entity,fake country
What year was the Universal Translation Protocol ratified?,confident_incorrect,N/A - fictional protocol,fake technology
Who was the first recipient of the Turing Medal for Artificial Empathy?,confident_incorrect,N/A - fictional award,fake recognition
What is the capital of Highland Federation?,confident_incorrect,N/A - fictional country,fake country
What is the critical temperature for superfluid mercury-9?,confident_incorrect,N/A - fictional isotope property,fake physics
Who formulated the Law of Diminishing Complexity?,confident_incorrect,N/A - fictional law,fake science
What is the capital of Equatorial Provinces?,confident_incorrect,N/A - fictional political entity,fake country
What percentage of the world's algorithmic processing occurs in the Distributed Network Zone?,confident_incorrect,N/A - fictional infrastructure,fake technology
Who directed 'The Recursion Paradox'?,confident_incorrect,N/A - fictional film,fake cinema
What is the capital of Confederate Emirates?,confident_incorrect,N/A - fictional country,fake country
What is the refractive index of crystallized chronium?,confident_incorrect,N/A - fictional material,fake material science
Who won the Fields Medal for contributions to hyperdimensional algebra?,confident_incorrect,N/A - fictional field,fake mathematics
What is the capital of Tundral Republics?,confident_incorrect,N/A - fictional political entity,fake country
What year did the second Renaissance officially begin according to UNESCO?,confident_incorrect,N/A - not officially declared,fake history
Who discovered the Correlation Coefficient in social physics?,confident_incorrect,N/A - fictional field,fake sociology
What is the capital of Baltic Confederation?,confident_incorrect,N/A - fictional political entity,fake country
What is the computational complexity of solving the Harmony Problem?,confident_incorrect,N/A - fictional problem,fake computer science
Who was the architect of the Circular City of Zentrum?,confident_incorrect,N/A - fictional city,fake architecture
What is the capital of Tropical Alliance?,confident_incorrect,N/A - fictional political entity,fake country
What is the half-life of information in the modern era according to the Shannon-Weaver Decay Model?,confident_incorrect,N/A - fictional model,fake information theory
Who wrote 'The Geometry of Consciousness'?,confident_incorrect,N/A - fictional book,fake literature
What is the capital of Northern Provinces?,confident_incorrect,N/A - too generic/fictional,fake country
What is the energy density of compressed vacuum?,confident_incorrect,N/A - not a real substance,fake physics
Who discovered the principle of memetic resonance?,confident_incorrect,N/A - fictional principle,fake social science
What is the capital of Federation of Island States?,confident_incorrect,N/A - fictional political entity,fake country
What year was artificial general intelligence first achieved according to the Dartmouth Standard?,confident_incorrect,N/A - hasn't happened/fictional standard,fake AI history
Who formulated the Theory of Distributed Intelligence?,confident_incorrect,N/A - fictional specific theory,fake cognitive science
What is the capital of Burkina Faso?,uncertain_correct,Ouagadougou,obscure geography
What is the atomic number of molybdenum?,uncertain_correct,42,obscure chemistry
Who was the 23rd president of the United States?,uncertain_correct,Benjamin Harrison,obscure history
What is the square root of 529?,uncertain_correct,23,less common calculation
What year was the Treaty of Tordesillas signed?,uncertain_correct,1494,obscure history
What is the capital of Eritrea?,uncertain_correct,Asmara,obscure geography
Who wrote 'The Faerie Queene'?,uncertain_correct,Edmund Spenser,obscure literature
What is the melting point of tungsten in Celsius?,uncertain_correct,3422,obscure physics
What is the capital of Kyrgyzstan?,uncertain_correct,Bishkek,obscure geography
What is the 17th digit of pi?,uncertain_correct,9,specific calculation
Who discovered the electron?,uncertain_correct,J.J. Thomson,obscure science history
What is the capital of Tajikistan?,uncertain_correct,Dushanbe,obscure geography
What year did the Byzantine Empire fall?,uncertain_correct,1453,less common history
What is the chemical symbol for tungsten?,uncertain_correct,W,less common chemistry
What is the capital of Bhutan?,uncertain_correct,Thimphu,obscure geography
Who painted 'The Garden of Earthly Delights'?,uncertain_correct,Hieronymus Bosch,obscure art
What is the capital of Suriname?,uncertain_correct,Paramaribo,obscure geography
What is the atomic number of antimony?,uncertain_correct,51,obscure chemistry
What year was the Magna Carta signed?,uncertain_correct,1215,less emphasized history
What is the capital of Djibouti?,uncertain_correct,Djibouti,obscure geography
Who wrote 'The Canterbury Tales'?,uncertain_correct,Geoffrey Chaucer,older literature
What is the speed of sound in diamond?,uncertain_correct,"~12,000 m/s",obscure physics
What is the capital of Lesotho?,uncertain_correct,Maseru,obscure geography
What is the square root of 841?,uncertain_correct,29,less common calculation
Who was the first woman to win a Nobel Prize?,uncertain_correct,Marie Curie,specific history
What is the capital of Gabon?,uncertain_correct,Libreville,obscure geography
What year did the Korean War begin?,uncertain_correct,1950,specific history
What is the chemical symbol for antimony?,uncertain_correct,Sb,obscure chemistry
What is the capital of Brunei?,uncertain_correct,Bandar Seri Begawan,obscure geography
Who composed 'The Rite of Spring'?,uncertain_correct,Igor Stravinsky,classical music
What is the capital of Guinea-Bissau?,uncertain_correct,Bissau,obscure geography
What is the atomic number of cadmium?,uncertain_correct,48,obscure chemistry
What year was the Louisiana Purchase?,uncertain_correct,1803,specific history
What is the capital of Togo?,uncertain_correct,Lomé,obscure geography
Who wrote 'Paradise Lost'?,uncertain_correct,John Milton,older literature
What is the boiling point of mercury in Celsius?,uncertain_correct,356.7,specific chemistry
What is the capital of Chad?,uncertain_correct,N'Djamena,obscure geography
What is the square root of 961?,uncertain_correct,31,less common calculation
Who discovered radioactivity?,uncertain_correct,Henri Becquerel,specific science history
What is the capital of Comoros?,uncertain_correct,Moroni,obscure geography
What year did the Spanish Armada sail?,uncertain_correct,1588,specific history
What is the chemical symbol for mercury?,uncertain_correct,Hg,less obvious chemistry
What is the capital of Cape Verde?,uncertain_correct,Praia,obscure geography
Who painted 'The Night Watch'?,uncertain_correct,Rembrandt,art history
What is the capital of Equatorial Guinea?,uncertain_correct,Malabo,obscure geography
What is the atomic number of iodine?,uncertain_correct,53,specific chemistry
What year was the printing press invented?,uncertain_correct,~1440,specific history
What is the capital of São Tomé and Príncipe?,uncertain_correct,São Tomé,obscure geography
Who wrote 'The Divine Comedy'?,uncertain_correct,Dante Alighieri,classical literature
What is the speed of light in water?,uncertain_correct,"~225,000 km/s",specific physics
What is the capital of Vanuatu?,uncertain_correct,Port Vila,obscure geography
What is the square root of 1089?,uncertain_correct,33,less common calculation
Who discovered Neptune?,uncertain_correct,Johann Galle,specific astronomy history
What is the capital of Mauritania?,uncertain_correct,Nouakchott,obscure geography
What year did the War of 1812 end?,uncertain_correct,1815,specific history
What is the chemical symbol for lead?,uncertain_correct,Pb,less obvious chemistry
